budget_id,budget_month,account_code,cost_centre_code,product_code,entity_code,region_code,budget_version,budget_currency,budget_amount,source_system,load_date
BUD26-000036,2026-01-01,4100,CC220,P001,ENT01,REG04,FY26 Approved,GBP,52715.52,Planning System,2026-09-18
BUD26-000037,2026-01-01,4100,CC220,P001,ENT02,REG01,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000038,2026-01-01,4100,CC220,P001,ENT02,REG02,FY26 Approved,GBP,155271.17,Planning System,2026-09-18
BUD26-000039,2026-01-01,4100,CC220,P001,ENT02,REG03,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000040,2026-01-01,4100,CC220,P001,ENT02,REG04,FY26 Approved,GBP,17252.35,Planning System,2026-09-18
BUD26-000041,2026-01-01,4100,CC220,P001,ENT03,REG01,FY26 Approved,GBP,14376.96,Planning System,2026-09-18
BUD26-000042,2026-01-01,4100,CC220,P001,ENT03,REG02,FY26 Approved,GBP,17971.20,Planning System,2026-09-18
BUD26-000043,2026-01-01,4100,CC220,P001,ENT03,REG03,FY26 Approved,GBP,132986.88,Planning System,2026-09-18
BUD26-000044,2026-01-01,4100,CC220,P001,ENT03,REG04,FY26 Approved,GBP,14376.96,Planning System,2026-09-18
BUD26-000045,2026-01-01,4100,CC220,P001,ENT04,REG01,FY26 Approved,GBP,11501.57,Planning System,2026-09-18
BUD26-000046,2026-01-01,4100,CC220,P001,ENT04,REG02,FY26 Approved,GBP,14376.96,Planning System,2026-09-18
BUD26-000047,2026-01-01,4100,CC220,P001,ENT04,REG03,FY26 Approved,GBP,17252.35,Planning System,2026-09-18
BUD26-000048,2026-01-01,4100,CC220,P001,ENT04,REG04,FY26 Approved,GBP,100638.72,Planning System,2026-09-18
BUD26-000049,2026-01-01,4110,CC210,P002,ENT01,REG01,FY26 Approved,GBP,288288.00,Planning System,2026-09-18
BUD26-000050,2026-01-01,4110,CC210,P002,ENT01,REG02,FY26 Approved,GBP,49420.80,Planning System,2026-09-18
BUD26-000051,2026-01-01,4110,CC210,P002,ENT01,REG03,FY26 Approved,GBP,41184.00,Planning System,2026-09-18
BUD26-000052,2026-01-01,4110,CC210,P002,ENT01,REG04,FY26 Approved,GBP,32947.20,Planning System,2026-09-18
BUD26-000053,2026-01-01,4110,CC210,P002,ENT02,REG01,FY26 Approved,GBP,13478.40,Planning System,2026-09-18
BUD26-000054,2026-01-01,4110,CC210,P002,ENT02,REG02,FY26 Approved,GBP,97044.48,Planning System,2026-09-18
BUD26-000055,2026-01-01,4110,CC210,P002,ENT02,REG03,FY26 Approved,GBP,13478.40,Planning System,2026-09-18
BUD26-000056,2026-01-01,4110,CC210,P002,ENT02,REG04,FY26 Approved,GBP,10782.72,Planning System,2026-09-18
BUD26-000057,2026-01-01,4110,CC210,P002,ENT03,REG01,FY26 Approved,GBP,8985.60,Planning System,2026-09-18
BUD26-000058,2026-01-01,4110,CC210,P002,ENT03,REG02,FY26 Approved,GBP,11232.00,Planning System,2026-09-18
BUD26-000059,2026-01-01,4110,CC210,P002,ENT03,REG03,FY26 Approved,GBP,83116.80,Planning System,2026-09-18
BUD26-000060,2026-01-01,4110,CC210,P002,ENT03,REG04,FY26 Approved,GBP,8985.60,Planning System,2026-09-18
BUD26-000061,2026-01-01,4110,CC210,P002,ENT04,REG01,FY26 Approved,GBP,7188.48,Planning System,2026-09-18
BUD26-000062,2026-01-01,4110,CC210,P002,ENT04,REG02,FY26 Approved,GBP,8985.60,Planning System,2026-09-18
BUD26-000063,2026-01-01,4110,CC210,P002,ENT04,REG03,FY26 Approved,GBP,10782.72,Planning System,2026-09-18
BUD26-000064,2026-01-01,4110,CC210,P002,ENT04,REG04,FY26 Approved,GBP,62899.20,Planning System,2026-09-18
BUD26-000065,2026-01-01,4110,CC220,P002,ENT01,REG01,FY26 Approved,GBP,192192.00,Planning System,2026-09-18
BUD26-000066,2026-01-01,4110,CC220,P002,ENT01,REG02,FY26 Approved,GBP,32947.20,Planning System,2026-09-18
BUD26-000067,2026-01-01,4110,CC220,P002,ENT01,REG03,FY26 Approved,GBP,27456.00,Planning System,2026-09-18
BUD26-000068,2026-01-01,4110,CC220,P002,ENT01,REG04,FY26 Approved,GBP,21964.80,Planning System,2026-09-18
BUD26-000069,2026-01-01,4110,CC220,P002,ENT02,REG01,FY26 Approved,GBP,8985.60,Planning System,2026-09-18
BUD26-000070,2026-01-01,4110,CC220,P002,ENT02,REG02,FY26 Approved,GBP,64696.32,Planning System,2026-09-18
BUD26-000071,2026-01-01,4110,CC220,P002,ENT02,REG03,FY26 Approved,GBP,8985.60,Planning System,2026-09-18
BUD26-000072,2026-01-01,4110,CC220,P002,ENT02,REG04,FY26 Approved,GBP,7188.48,Planning System,2026-09-18
BUD26-000073,2026-01-01,4110,CC220,P002,ENT03,REG01,FY26 Approved,GBP,5990.40,Planning System,2026-09-18
BUD26-000074,2026-01-01,4110,CC220,P002,ENT03,REG02,FY26 Approved,GBP,7488.00,Planning System,2026-09-18
BUD26-000075,2026-01-01,4110,CC220,P002,ENT03,REG03,FY26 Approved,GBP,55411.20,Planning System,2026-09-18
BUD26-000076,2026-01-01,4110,CC220,P002,ENT03,REG04,FY26 Approved,GBP,5990.40,Planning System,2026-09-18
BUD26-000077,2026-01-01,4110,CC220,P002,ENT04,REG01,FY26 Approved,GBP,4792.32,Planning System,2026-09-18
BUD26-000078,2026-01-01,4110,CC220,P002,ENT04,REG02,FY26 Approved,GBP,5990.40,Planning System,2026-09-18
BUD26-000079,2026-01-01,4110,CC220,P002,ENT04,REG03,FY26 Approved,GBP,7188.48,Planning System,2026-09-18
BUD26-000080,2026-01-01,4110,CC220,P002,ENT04,REG04,FY26 Approved,GBP,41932.80,Planning System,2026-09-18
BUD26-000081,2026-01-01,4120,CC210,P003,ENT01,REG01,FY26 Approved,GBP,187387.20,Planning System,2026-09-18
BUD26-000082,2026-01-01,4120,CC210,P003,ENT01,REG02,FY26 Approved,GBP,32123.52,Planning System,2026-09-18
BUD26-000083,2026-01-01,4120,CC210,P003,ENT01,REG03,FY26 Approved,GBP,26769.60,Planning System,2026-09-18
BUD26-000084,2026-01-01,4120,CC210,P003,ENT01,REG04,FY26 Approved,GBP,21415.68,Planning System,2026-09-18
BUD26-000085,2026-01-01,4120,CC210,P003,ENT02,REG01,FY26 Approved,GBP,8760.96,Planning System,2026-09-18
BUD26-000086,2026-01-01,4120,CC210,P003,ENT02,REG02,FY26 Approved,GBP,63078.91,Planning System,2026-09-18
BUD26-000087,2026-01-01,4120,CC210,P003,ENT02,REG03,FY26 Approved,GBP,8760.96,Planning System,2026-09-18
BUD26-000088,2026-01-01,4120,CC210,P003,ENT02,REG04,FY26 Approved,GBP,7008.77,Planning System,2026-09-18
BUD26-000089,2026-01-01,4120,CC210,P003,ENT03,REG01,FY26 Approved,GBP,5840.64,Planning System,2026-09-18
BUD26-000090,2026-01-01,4120,CC210,P003,ENT03,REG02,FY26 Approved,GBP,7300.80,Planning System,2026-09-18
BUD26-000091,2026-01-01,4120,CC210,P003,ENT03,REG03,FY26 Approved,GBP,54025.92,Planning System,2026-09-18
BUD26-000092,2026-01-01,4120,CC210,P003,ENT03,REG04,FY26 Approved,GBP,5840.64,Planning System,2026-09-18
BUD26-000093,2026-01-01,4120,CC210,P003,ENT04,REG01,FY26 Approved,GBP,4672.51,Planning System,2026-09-18
BUD26-000094,2026-01-01,4120,CC210,P003,ENT04,REG02,FY26 Approved,GBP,5840.64,Planning System,2026-09-18
BUD26-000095,2026-01-01,4120,CC210,P003,ENT04,REG03,FY26 Approved,GBP,7008.77,Planning System,2026-09-18
BUD26-000096,2026-01-01,4120,CC210,P003,ENT04,REG04,FY26 Approved,GBP,40884.48,Planning System,2026-09-18
BUD26-000097,2026-01-01,4120,CC220,P003,ENT01,REG01,FY26 Approved,GBP,124924.80,Planning System,2026-09-18
BUD26-000098,2026-01-01,4120,CC220,P003,ENT01,REG02,FY26 Approved,GBP,21415.68,Planning System,2026-09-18
BUD26-000099,2026-01-01,4120,CC220,P003,ENT01,REG03,FY26 Approved,GBP,17846.40,Planning System,2026-09-18
BUD26-000100,2026-01-01,4120,CC220,P003,ENT01,REG04,FY26 Approved,GBP,14277.12,Planning System,2026-09-18
BUD26-000101,2026-01-01,4120,CC220,P003,ENT02,REG01,FY26 Approved,GBP,5840.64,Planning System,2026-09-18
BUD26-000102,2026-01-01,4120,CC220,P003,ENT02,REG02,FY26 Approved,GBP,42052.61,Planning System,2026-09-18
BUD26-000103,2026-01-01,4120,CC220,P003,ENT02,REG03,FY26 Approved,GBP,5840.64,Planning System,2026-09-18
BUD26-000104,2026-01-01,4120,CC220,P003,ENT02,REG04,FY26 Approved,GBP,4672.51,Planning System,2026-09-18
BUD26-000105,2026-01-01,4120,CC220,P003,ENT03,REG01,FY26 Approved,GBP,3893.76,Planning System,2026-09-18
BUD26-000106,2026-01-01,4120,CC220,P003,ENT03,REG02,FY26 Approved,GBP,4867.20,Planning System,2026-09-18
BUD26-000107,2026-01-01,4120,CC220,P003,ENT03,REG03,FY26 Approved,GBP,36017.28,Planning System,2026-09-18
BUD26-000108,2026-01-01,4120,CC220,P003,ENT03,REG04,FY26 Approved,GBP,3893.76,Planning System,2026-09-18
BUD26-000109,2026-01-01,4120,CC220,P003,ENT04,REG01,FY26 Approved,GBP,3115.01,Planning System,2026-09-18
BUD26-000110,2026-01-01,4120,CC220,P003,ENT04,REG02,FY26 Approved,GBP,3893.76,Planning System,2026-09-18
BUD26-000111,2026-01-01,4120,CC220,P003,ENT04,REG03,FY26 Approved,GBP,4672.51,Planning System,2026-09-18
BUD26-000112,2026-01-01,4120,CC220,P003,ENT04,REG04,FY26 Approved,GBP,27256.32,Planning System,2026-09-18
BUD26-000113,2026-01-01,4200,CC210,P003,ENT01,REG01,FY26 Approved,GBP,100900.80,Planning System,2026-09-18
BUD26-000114,2026-01-01,4200,CC210,P003,ENT01,REG02,FY26 Approved,GBP,17297.28,Planning System,2026-09-18
BUD26-000115,2026-01-01,4200,CC210,P003,ENT01,REG03,FY26 Approved,GBP,14414.40,Planning System,2026-09-18
BUD26-000116,2026-01-01,4200,CC210,P003,ENT01,REG04,FY26 Approved,GBP,11531.52,Planning System,2026-09-18
BUD26-000117,2026-01-01,4200,CC210,P003,ENT02,REG01,FY26 Approved,GBP,4717.44,Planning System,2026-09-18
BUD26-000118,2026-01-01,4200,CC210,P003,ENT02,REG02,FY26 Approved,GBP,33965.57,Planning System,2026-09-18
BUD26-000119,2026-01-01,4200,CC210,P003,ENT02,REG03,FY26 Approved,GBP,4717.44,Planning System,2026-09-18
BUD26-000120,2026-01-01,4200,CC210,P003,ENT02,REG04,FY26 Approved,GBP,3773.95,Planning System,2026-09-18
BUD26-000121,2026-01-01,4200,CC210,P003,ENT03,REG01,FY26 Approved,GBP,3144.96,Planning System,2026-09-18
BUD26-000122,2026-01-01,4200,CC210,P003,ENT03,REG02,FY26 Approved,GBP,3931.20,Planning System,2026-09-18
BUD26-000123,2026-01-01,4200,CC210,P003,ENT03,REG03,FY26 Approved,GBP,29090.88,Planning System,2026-09-18
BUD26-000124,2026-01-01,4200,CC210,P003,ENT03,REG04,FY26 Approved,GBP,3144.96,Planning System,2026-09-18
BUD26-000125,2026-01-01,4200,CC210,P003,ENT04,REG01,FY26 Approved,GBP,2515.97,Planning System,2026-09-18
BUD26-000126,2026-01-01,4200,CC210,P003,ENT04,REG02,FY26 Approved,GBP,3144.96,Planning System,2026-09-18
BUD26-000127,2026-01-01,4200,CC210,P003,ENT04,REG03,FY26 Approved,GBP,3773.95,Planning System,2026-09-18
BUD26-000128,2026-01-01,4200,CC210,P003,ENT04,REG04,FY26 Approved,GBP,22014.72,Planning System,2026-09-18
BUD26-000129,2026-01-01,4200,CC220,P003,ENT01,REG01,FY26 Approved,GBP,67267.20,Planning System,2026-09-18
BUD26-000130,2026-01-01,4200,CC220,P003,ENT01,REG02,FY26 Approved,GBP,11531.52,Planning System,2026-09-18
BUD26-000131,2026-01-01,4200,CC220,P003,ENT01,REG03,FY26 Approved,GBP,9609.60,Planning System,2026-09-18
BUD26-000132,2026-01-01,4200,CC220,P003,ENT01,REG04,FY26 Approved,GBP,7687.68,Planning System,2026-09-18
BUD26-000133,2026-01-01,4200,CC220,P003,ENT02,REG01,FY26 Approved,GBP,3144.96,Planning System,2026-09-18
BUD26-000134,2026-01-01,4200,CC220,P003,ENT02,REG02,FY26 Approved,GBP,22643.71,Planning System,2026-09-18
BUD26-000135,2026-01-01,4200,CC220,P003,ENT02,REG03,FY26 Approved,GBP,3144.96,Planning System,2026-09-18
BUD26-000136,2026-01-01,4200,CC220,P003,ENT02,REG04,FY26 Approved,GBP,2515.97,Planning System,2026-09-18
BUD26-000137,2026-01-01,4200,CC220,P003,ENT03,REG01,FY26 Approved,GBP,2096.64,Planning System,2026-09-18
BUD26-000138,2026-01-01,4200,CC220,P003,ENT03,REG02,FY26 Approved,GBP,2620.80,Planning System,2026-09-18
BUD26-000139,2026-01-01,4200,CC220,P003,ENT03,REG03,FY26 Approved,GBP,19393.92,Planning System,2026-09-18
BUD26-000140,2026-01-01,4200,CC220,P003,ENT03,REG04,FY26 Approved,GBP,2096.64,Planning System,2026-09-18
BUD26-000141,2026-01-01,4200,CC220,P003,ENT04,REG01,FY26 Approved,GBP,1677.31,Planning System,2026-09-18
BUD26-000142,2026-01-01,4200,CC220,P003,ENT04,REG02,FY26 Approved,GBP,2096.64,Planning System,2026-09-18
BUD26-000143,2026-01-01,4200,CC220,P003,ENT04,REG03,FY26 Approved,GBP,2515.97,Planning System,2026-09-18
BUD26-000144,2026-01-01,4200,CC220,P003,ENT04,REG04,FY26 Approved,GBP,14676.48,Planning System,2026-09-18
BUD26-000145,2026-01-01,4300,CC420,P004,ENT01,REG01,FY26 Approved,GBP,144144.00,Planning System,2026-09-18
BUD26-000146,2026-01-01,4300,CC420,P004,ENT01,REG02,FY26 Approved,GBP,24710.40,Planning System,2026-09-18
BUD26-000147,2026-01-01,4300,CC420,P004,ENT01,REG03,FY26 Approved,GBP,20592.00,Planning System,2026-09-18
BUD26-000148,2026-01-01,4300,CC420,P004,ENT01,REG04,FY26 Approved,GBP,16473.60,Planning System,2026-09-18
BUD26-000149,2026-01-01,4300,CC420,P004,ENT02,REG01,FY26 Approved,GBP,6739.20,Planning System,2026-09-18
BUD26-000150,2026-01-01,4300,CC420,P004,ENT02,REG02,FY26 Approved,GBP,48522.24,Planning System,2026-09-18
BUD26-000151,2026-01-01,4300,CC420,P004,ENT02,REG03,FY26 Approved,GBP,6739.20,Planning System,2026-09-18
BUD26-000152,2026-01-01,4300,CC420,P004,ENT02,REG04,FY26 Approved,GBP,5391.36,Planning System,2026-09-18
BUD26-000153,2026-01-01,4300,CC420,P004,ENT03,REG01,FY26 Approved,GBP,4492.80,Planning System,2026-09-18
BUD26-000154,2026-01-01,4300,CC420,P004,ENT03,REG02,FY26 Approved,GBP,5616.00,Planning System,2026-09-18
BUD26-000155,2026-01-01,4300,CC420,P004,ENT03,REG03,FY26 Approved,GBP,41558.40,Planning System,2026-09-18
BUD26-000156,2026-01-01,4300,CC420,P004,ENT03,REG04,FY26 Approved,GBP,4492.80,Planning System,2026-09-18
BUD26-000157,2026-01-01,4300,CC420,P004,ENT04,REG01,FY26 Approved,GBP,3594.24,Planning System,2026-09-18
BUD26-000158,2026-01-01,4300,CC420,P004,ENT04,REG02,FY26 Approved,GBP,4492.80,Planning System,2026-09-18
BUD26-000159,2026-01-01,4300,CC420,P004,ENT04,REG03,FY26 Approved,GBP,5391.36,Planning System,2026-09-18
BUD26-000160,2026-01-01,4300,CC420,P004,ENT04,REG04,FY26 Approved,GBP,31449.60,Planning System,2026-09-18
BUD26-000161,2026-01-01,4400,CC430,P004,ENT01,REG01,FY26 Approved,GBP,96096.00,Planning System,2026-09-18
BUD26-000162,2026-01-01,4400,CC430,P004,ENT01,REG02,FY26 Approved,GBP,16473.60,Planning System,2026-09-18
BUD26-000163,2026-01-01,4400,CC430,P004,ENT01,REG03,FY26 Approved,GBP,13728.00,Planning System,2026-09-18
BUD26-000164,2026-01-01,4400,CC430,P004,ENT01,REG04,FY26 Approved,GBP,10982.40,Planning System,2026-09-18
BUD26-000165,2026-01-01,4400,CC430,P004,ENT02,REG01,FY26 Approved,GBP,4492.80,Planning System,2026-09-18
BUD26-000166,2026-01-01,4400,CC430,P004,ENT02,REG02,FY26 Approved,GBP,32348.16,Planning System,2026-09-18
BUD26-000167,2026-01-01,4400,CC430,P004,ENT02,REG03,FY26 Approved,GBP,4492.80,Planning System,2026-09-18
BUD26-000168,2026-01-01,4400,CC430,P004,ENT02,REG04,FY26 Approved,GBP,3594.24,Planning System,2026-09-18
BUD26-000169,2026-01-01,4400,CC430,P004,ENT03,REG01,FY26 Approved,GBP,2995.20,Planning System,2026-09-18
BUD26-000170,2026-01-01,4400,CC430,P004,ENT03,REG02,FY26 Approved,GBP,3744.00,Planning System,2026-09-18
BUD26-000171,2026-01-01,4400,CC430,P004,ENT03,REG03,FY26 Approved,GBP,27705.60,Planning System,2026-09-18
BUD26-000172,2026-01-01,4400,CC430,P004,ENT03,REG04,FY26 Approved,GBP,2995.20,Planning System,2026-09-18
BUD26-000173,2026-01-01,4400,CC430,P004,ENT04,REG01,FY26 Approved,GBP,2396.16,Planning System,2026-09-18
BUD26-000174,2026-01-01,4400,CC430,P004,ENT04,REG02,FY26 Approved,GBP,2995.20,Planning System,2026-09-18
BUD26-000175,2026-01-01,4400,CC430,P004,ENT04,REG03,FY26 Approved,GBP,3594.24,Planning System,2026-09-18
BUD26-000176,2026-01-01,4400,CC430,P004,ENT04,REG04,FY26 Approved,GBP,20966.40,Planning System,2026-09-18
BUD26-000177,2026-02-01,4900,CC110,P000,ENT01,REG01,FY26 Approved,GBP,48048.00,Planning System,2026-09-18
BUD26-000178,2026-02-01,4900,CC110,P000,ENT01,REG02,FY26 Approved,GBP,8236.80,Planning System,2026-09-18
BUD26-000179,2026-02-01,4900,CC110,P000,ENT01,REG03,FY26 Approved,GBP,6864.00,Planning System,2026-09-18
BUD26-000180,2026-02-01,4900,CC110,P000,ENT01,REG04,FY26 Approved,GBP,5491.20,Planning System,2026-09-18
BUD26-000181,2026-02-01,4900,CC110,P000,ENT02,REG01,FY26 Approved,GBP,2246.40,Planning System,2026-09-18
BUD26-000182,2026-02-01,4900,CC110,P000,ENT02,REG02,FY26 Approved,GBP,16174.08,Planning System,2026-09-18
BUD26-000183,2026-02-01,4900,CC110,P000,ENT02,REG03,FY26 Approved,GBP,2246.40,Planning System,2026-09-18
BUD26-000184,2026-02-01,4900,CC110,P000,ENT02,REG04,FY26 Approved,GBP,1797.12,Planning System,2026-09-18
BUD26-000185,2026-02-01,4900,CC110,P000,ENT03,REG01,FY26 Approved,GBP,1497.60,Planning System,2026-09-18
BUD26-000186,2026-02-01,4900,CC110,P000,ENT03,REG02,FY26 Approved,GBP,1872.00,Planning System,2026-09-18
BUD26-000187,2026-02-01,4900,CC110,P000,ENT03,REG03,FY26 Approved,GBP,13852.80,Planning System,2026-09-18
BUD26-000188,2026-02-01,4900,CC110,P000,ENT03,REG04,FY26 Approved,GBP,1497.60,Planning System,2026-09-18
BUD26-000189,2026-02-01,4900,CC110,P000,ENT04,REG01,FY26 Approved,GBP,1198.08,Planning System,2026-09-18
BUD26-000190,2026-02-01,4900,CC110,P000,ENT04,REG02,FY26 Approved,GBP,1497.60,Planning System,2026-09-18
BUD26-000191,2026-02-01,4900,CC110,P000,ENT04,REG03,FY26 Approved,GBP,1797.12,Planning System,2026-09-18
BUD26-000192,2026-02-01,4900,CC110,P000,ENT04,REG04,FY26 Approved,GBP,10483.20,Planning System,2026-09-18
BUD26-000193,2026-02-01,4100,CC210,P001,ENT01,REG01,FY26 Approved,GBP,691891.20,Planning System,2026-09-18
BUD26-000194,2026-02-01,4100,CC210,P001,ENT01,REG02,FY26 Approved,GBP,118609.92,Planning System,2026-09-18
BUD26-000195,2026-02-01,4100,CC210,P001,ENT01,REG03,FY26 Approved,GBP,98841.60,Planning System,2026-09-18
BUD26-000196,2026-02-01,4100,CC210,P001,ENT01,REG04,FY26 Approved,GBP,79073.28,Planning System,2026-09-18
BUD26-000197,2026-02-01,4100,CC210,P001,ENT02,REG01,FY26 Approved,GBP,32348.16,Planning System,2026-09-18
BUD26-000198,2026-02-01,4100,CC210,P001,ENT02,REG02,FY26 Approved,GBP,232906.75,Planning System,2026-09-18
BUD26-000199,2026-02-01,4100,CC210,P001,ENT02,REG03,FY26 Approved,GBP,32348.16,Planning System,2026-09-18
BUD26-000200,2026-02-01,4100,CC210,P001,ENT02,REG04,FY26 Approved,GBP,25878.53,Planning System,2026-09-18
BUD26-000201,2026-02-01,4100,CC210,P001,ENT03,REG01,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000202,2026-02-01,4100,CC210,P001,ENT03,REG02,FY26 Approved,GBP,26956.80,Planning System,2026-09-18
BUD26-000203,2026-02-01,4100,CC210,P001,ENT03,REG03,FY26 Approved,GBP,199480.32,Planning System,2026-09-18
BUD26-000204,2026-02-01,4100,CC210,P001,ENT03,REG04,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000205,2026-02-01,4100,CC210,P001,ENT04,REG01,FY26 Approved,GBP,17252.35,Planning System,2026-09-18
BUD26-000206,2026-02-01,4100,CC210,P001,ENT04,REG02,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000207,2026-02-01,4100,CC210,P001,ENT04,REG03,FY26 Approved,GBP,25878.53,Planning System,2026-09-18
BUD26-000208,2026-02-01,4100,CC210,P001,ENT04,REG04,FY26 Approved,GBP,150958.08,Planning System,2026-09-18
BUD26-000209,2026-02-01,4100,CC220,P001,ENT01,REG01,FY26 Approved,GBP,461260.80,Planning System,2026-09-18
BUD26-000210,2026-02-01,4100,CC220,P001,ENT01,REG02,FY26 Approved,GBP,79073.28,Planning System,2026-09-18
BUD26-000211,2026-02-01,4100,CC220,P001,ENT01,REG03,FY26 Approved,GBP,65894.40,Planning System,2026-09-18
BUD26-000212,2026-02-01,4100,CC220,P001,ENT01,REG04,FY26 Approved,GBP,52715.52,Planning System,2026-09-18
BUD26-000213,2026-02-01,4100,CC220,P001,ENT02,REG01,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000214,2026-02-01,4100,CC220,P001,ENT02,REG02,FY26 Approved,GBP,155271.17,Planning System,2026-09-18
BUD26-000215,2026-02-01,4100,CC220,P001,ENT02,REG03,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000216,2026-02-01,4100,CC220,P001,ENT02,REG04,FY26 Approved,GBP,17252.35,Planning System,2026-09-18
BUD26-000217,2026-02-01,4100,CC220,P001,ENT03,REG01,FY26 Approved,GBP,14376.96,Planning System,2026-09-18
BUD26-000218,2026-02-01,4100,CC220,P001,ENT03,REG02,FY26 Approved,GBP,17971.20,Planning System,2026-09-18
BUD26-000219,2026-02-01,4100,CC220,P001,ENT03,REG03,FY26 Approved,GBP,132986.88,Planning System,2026-09-18
BUD26-000220,2026-02-01,4100,CC220,P001,ENT03,REG04,FY26 Approved,GBP,14376.96,Planning System,2026-09-18
