transaction_id,document_id,posting_date,account_code,cost_centre_code,product_code,entity_code,region_code,local_currency,local_amount,fx_rate_to_gbp,reporting_currency,reporting_amount_gbp,source_system,journal_type,description,load_date
TXN-0000012,DOC-20250101-012,2025-01-01,6400,CC330,P000,ENT01,REG01,GBP,16394.05,1.0,GBP,16394.05,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6400,2026-09-24
TXN-0000013,DOC-20250101-013,2025-01-01,4400,CC430,P004,ENT01,REG01,GBP,35379.38,1.0,GBP,35379.38,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4400,2026-09-24
TXN-0000014,DOC-20250101-014,2025-01-01,5200,CC410,P001,ENT03,REG03,EUR,14624.32,0.8389,GBP,12268.34,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5200,2026-09-24
TXN-0000015,DOC-20250101-015,2025-01-01,4110,CC210,P002,ENT01,REG01,GBP,1905.81,1.0,GBP,1905.81,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4110,2026-09-24
TXN-0000016,DOC-20250101-016,2025-01-01,6660,CC120,P000,ENT03,REG03,EUR,12186.91,0.8389,GBP,10223.6,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6660,2026-09-24
TXN-0000017,DOC-20250101-017,2025-01-01,6620,CC120,P000,ENT01,REG01,GBP,10064.32,1.0,GBP,10064.32,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6620,2026-09-24
TXN-0000018,DOC-20250101-018,2025-01-01,6740,CC130,P000,ENT01,REG01,GBP,4352.46,1.0,GBP,4352.46,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6740,2026-09-24
TXN-0000019,DOC-20250101-019,2025-01-01,4900,CC110,P000,ENT01,REG03,GBP,7216.3,1.0,GBP,7216.3,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4900,2026-09-24
TXN-0000020,DOC-20250101-020,2025-01-01,5110,CC420,P004,ENT02,REG02,EUR,15276.12,0.8389,GBP,12815.14,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5110,2026-09-24
TXN-0000021,DOC-20250101-021,2025-01-01,6200,CC230,P000,ENT02,REG02,EUR,4908.84,0.8389,GBP,4118.03,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6200,2026-09-24
TXN-0000022,DOC-20250101-022,2025-01-01,4100,CC220,P001,ENT01,REG01,GBP,11483.06,1.0,GBP,11483.06,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4100,2026-09-24
TXN-0000023,DOC-20250101-023,2025-01-01,6230,CC230,P003,ENT03,REG03,EUR,3159.07,0.8389,GBP,2650.14,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6230,2026-09-24
TXN-0000024,DOC-20250101-024,2025-01-01,4100,CC220,P001,ENT03,REG01,EUR,20029.13,0.8389,GBP,16802.44,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4100,2026-09-24
TXN-0000025,DOC-20250101-025,2025-01-01,6660,CC120,P000,ENT01,REG01,GBP,1510.94,1.0,GBP,1510.94,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6660,2026-09-24
TXN-0000026,DOC-20250101-026,2025-01-01,5300,CC410,P003,ENT01,REG03,GBP,5543.6,1.0,GBP,5543.6,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5300,2026-09-24
TXN-0000027,DOC-20250101-027,2025-01-01,6110,CC210,P001,ENT04,REG04,EUR,19579.39,0.8389,GBP,16425.15,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6110,2026-09-24
TXN-0000028,DOC-20250101-028,2025-01-01,4200,CC210,P003,ENT01,REG01,GBP,10838.31,1.0,GBP,10838.31,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4200,2026-09-24
TXN-0000029,DOC-20250101-029,2025-01-01,5300,CC410,P003,ENT01,REG01,GBP,7961.77,1.0,GBP,7961.77,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5300,2026-09-24
TXN-0000030,DOC-20250101-030,2025-01-01,4400,CC430,P004,ENT02,REG02,EUR,39942.63,0.8389,GBP,33507.87,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4400,2026-09-24
TXN-0000031,DOC-20250101-031,2025-01-01,6220,CC230,P000,ENT01,REG01,GBP,15813.38,1.0,GBP,15813.38,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6220,2026-09-24
TXN-0000032,DOC-20250101-032,2025-01-01,6410,CC330,P000,ENT02,REG02,EUR,18486.8,0.8389,GBP,15508.58,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6410,2026-09-24
TXN-0000033,DOC-20250101-033,2025-01-01,6620,CC140,P000,ENT01,REG01,GBP,15399.12,1.0,GBP,15399.12,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6620,2026-09-24
TXN-0000034,DOC-20250101-034,2025-01-01,6320,CC310,P000,ENT01,REG04,GBP,5571.51,1.0,GBP,5571.51,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6320,2026-09-24
TXN-0000035,DOC-20250101-035,2025-01-01,6120,CC210,P000,ENT04,REG04,EUR,4690.21,0.8389,GBP,3934.62,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6120,2026-09-24
TXN-0000036,DOC-20250101-036,2025-01-01,6400,CC330,P000,ENT02,REG02,EUR,3640.79,0.8389,GBP,3054.26,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6400,2026-09-24
TXN-0000037,DOC-20250101-037,2025-01-01,6200,CC230,P000,ENT01,REG01,GBP,4749.9,1.0,GBP,4749.9,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6200,2026-09-24
TXN-0000038,DOC-20250101-038,2025-01-01,6230,CC230,P002,ENT01,REG03,GBP,10625.09,1.0,GBP,10625.09,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6230,2026-09-24
TXN-0000039,DOC-20250101-039,2025-01-01,4400,CC430,P004,ENT01,REG01,GBP,36960.85,1.0,GBP,36960.85,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4400,2026-09-24
TXN-0000040,DOC-20250101-040,2025-01-01,6220,CC230,P003,ENT01,REG04,GBP,7568.07,1.0,GBP,7568.07,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6220,2026-09-24
TXN-0000041,DOC-20250102-001,2025-01-02,6210,CC230,P002,ENT01,REG01,GBP,1120.32,1.0,GBP,1120.32,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6210,2026-09-24
TXN-0000042,DOC-20250102-002,2025-01-02,5100,CC310,P001,ENT01,REG01,GBP,4397.5,1.0,GBP,4397.5,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5100,2026-09-24
TXN-0000043,DOC-20250102-003,2025-01-02,6650,CC110,P000,ENT04,REG04,EUR,3580.32,0.8389,GBP,3003.53,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6650,2026-09-24
TXN-0000044,DOC-20250102-004,2025-01-02,6100,CC220,P000,ENT03,REG03,EUR,14603.53,0.8389,GBP,12250.9,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6100,2026-09-24
TXN-0000045,DOC-20250102-005,2025-01-02,6310,CC310,P000,ENT03,REG03,EUR,15565.88,0.8389,GBP,13058.22,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6310,2026-09-24
TXN-0000046,DOC-20250102-006,2025-01-02,4900,CC110,P000,ENT01,REG01,GBP,16605.58,1.0,GBP,16605.58,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4900,2026-09-24
TXN-0000047,DOC-20250102-007,2025-01-02,5100,CC330,P003,ENT02,REG03,EUR,8056.84,0.8389,GBP,6758.88,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5100,2026-09-24
TXN-0000048,DOC-20250102-008,2025-01-02,5100,CC310,P002,ENT02,REG04,EUR,18550.29,0.8389,GBP,15561.84,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5100,2026-09-24
TXN-0000049,DOC-20250102-009,2025-01-02,4300,CC420,P004,ENT02,REG02,EUR,19593.59,0.8389,GBP,16437.06,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4300,2026-09-24
TXN-0000050,DOC-20250102-010,2025-01-02,5400,CC420,P004,ENT01,REG02,GBP,5144.83,1.0,GBP,5144.83,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5400,2026-09-24
TXN-0000051,DOC-20250102-011,2025-01-02,6720,CC130,P000,ENT01,REG01,GBP,11203.28,1.0,GBP,11203.28,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6720,2026-09-24
TXN-0000052,DOC-20250102-012,2025-01-02,5200,CC410,P003,ENT02,REG02,EUR,15411.92,0.8389,GBP,12929.06,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5200,2026-09-24
TXN-0000053,DOC-20250102-013,2025-01-02,6630,CC110,P000,ENT02,REG02,EUR,4286.53,0.8389,GBP,3595.97,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6630,2026-09-24
TXN-0000054,DOC-20250102-014,2025-01-02,6100,CC220,P000,ENT01,REG01,GBP,5106.55,1.0,GBP,5106.55,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6100,2026-09-24
TXN-0000055,DOC-20250102-015,2025-01-02,4200,CC220,P003,ENT01,REG04,GBP,29725.93,1.0,GBP,29725.93,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4200,2026-09-24
TXN-0000056,DOC-20250102-016,2025-01-02,4120,CC210,P003,ENT01,REG04,GBP,35993.98,1.0,GBP,35993.98,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4120,2026-09-24
TXN-0000057,DOC-20250102-017,2025-01-02,6730,CC130,P000,ENT01,REG01,GBP,7783.84,1.0,GBP,7783.84,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6730,2026-09-24
TXN-0000058,DOC-20250102-018,2025-01-02,6100,CC210,P000,ENT03,REG03,EUR,15396.29,0.8389,GBP,12915.95,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6100,2026-09-24
TXN-0000059,DOC-20250102-019,2025-01-02,5400,CC430,P004,ENT01,REG01,GBP,16238.64,1.0,GBP,16238.64,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5400,2026-09-24
TXN-0000060,DOC-20250102-020,2025-01-02,6630,CC120,P000,ENT03,REG03,EUR,6662.68,0.8389,GBP,5589.32,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6630,2026-09-24
TXN-0000061,DOC-20250102-021,2025-01-02,6720,CC130,P000,ENT03,REG03,EUR,9177.38,0.8389,GBP,7698.9,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6720,2026-09-24
TXN-0000062,DOC-20250102-022,2025-01-02,6310,CC310,P002,ENT01,REG01,GBP,1778.98,1.0,GBP,1778.98,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6310,2026-09-24
TXN-0000063,DOC-20250102-023,2025-01-02,6210,CC230,P003,ENT02,REG01,EUR,5033.17,0.8389,GBP,4222.33,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6210,2026-09-24
TXN-0000064,DOC-20250102-024,2025-01-02,5400,CC430,P004,ENT01,REG02,GBP,7840.7,1.0,GBP,7840.7,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5400,2026-09-24
TXN-0000065,DOC-20250102-025,2025-01-02,6100,CC220,P000,ENT01,REG01,GBP,6591.63,1.0,GBP,6591.63,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6100,2026-09-24
TXN-0000066,DOC-20250102-026,2025-01-02,6420,CC330,P000,ENT01,REG01,GBP,12424.91,1.0,GBP,12424.91,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6420,2026-09-24
TXN-0000067,DOC-20250102-027,2025-01-02,4120,CC210,P003,ENT04,REG04,EUR,38739.04,0.8389,GBP,32498.18,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4120,2026-09-24
TXN-0000068,DOC-20250102-028,2025-01-02,6640,CC110,P000,ENT01,REG01,GBP,11082.07,1.0,GBP,11082.07,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6640,2026-09-24
TXN-0000069,DOC-20250102-029,2025-01-02,4200,CC220,P003,ENT03,REG03,EUR,12814.09,0.8389,GBP,10749.74,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4200,2026-09-24
TXN-0000070,DOC-20250102-030,2025-01-02,6420,CC330,P000,ENT03,REG01,EUR,16466.19,0.8389,GBP,13813.49,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6420,2026-09-24
TXN-0000071,DOC-20250102-031,2025-01-02,6300,CC310,P000,ENT04,REG03,EUR,1952.71,0.8389,GBP,1638.13,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6300,2026-09-24
TXN-0000072,DOC-20250102-032,2025-01-02,4110,CC210,P002,ENT01,REG01,GBP,7124.18,1.0,GBP,7124.18,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4110,2026-09-24
TXN-0000073,DOC-20250102-033,2025-01-02,5400,CC430,P004,ENT01,REG01,GBP,13900.54,1.0,GBP,13900.54,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5400,2026-09-24
TXN-0000074,DOC-20250102-034,2025-01-02,5300,CC410,P003,ENT02,REG03,EUR,19835.95,0.8389,GBP,16640.38,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5300,2026-09-24
TXN-0000075,DOC-20250102-035,2025-01-02,4400,CC430,P004,ENT01,REG01,GBP,37849.65,1.0,GBP,37849.65,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4400,2026-09-24
TXN-0000076,DOC-20250102-036,2025-01-02,5400,CC430,P004,ENT01,REG04,GBP,1092.8,1.0,GBP,1092.8,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5400,2026-09-24
TXN-0000077,DOC-20250102-037,2025-01-02,6600,CC120,P000,ENT02,REG03,EUR,3550.75,0.8389,GBP,2978.72,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6600,2026-09-24
TXN-0000078,DOC-20250102-038,2025-01-02,6600,CC120,P000,ENT03,REG03,EUR,16292.42,0.8389,GBP,13667.71,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6600,2026-09-24
TXN-0000079,DOC-20250102-039,2025-01-02,4200,CC220,P003,ENT01,REG03,GBP,33613.99,1.0,GBP,33613.99,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4200,2026-09-24
TXN-0000080,DOC-20250102-040,2025-01-02,4110,CC220,P002,ENT04,REG04,EUR,42464.55,0.8389,GBP,35623.51,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4110,2026-09-24
TXN-0000081,DOC-20250103-001,2025-01-03,4100,CC220,P001,ENT02,REG02,EUR,6438.2,0.8389,GBP,5401.01,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4100,2026-09-24
TXN-0000082,DOC-20250103-002,2025-01-03,5300,CC410,P003,ENT01,REG01,GBP,14153.99,1.0,GBP,14153.99,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5300,2026-09-24
TXN-0000083,DOC-20250103-003,2025-01-03,5400,CC430,P004,ENT04,REG04,EUR,10493.46,0.8389,GBP,8802.96,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5400,2026-09-24
TXN-0000084,DOC-20250103-004,2025-01-03,5300,CC410,P003,ENT02,REG02,EUR,7168.43,0.8389,GBP,6013.6,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5300,2026-09-24
TXN-0000085,DOC-20250103-005,2025-01-03,6730,CC130,P000,ENT01,REG01,GBP,3489.68,1.0,GBP,3489.68,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6730,2026-09-24
TXN-0000086,DOC-20250103-006,2025-01-03,6650,CC120,P000,ENT01,REG01,GBP,16126.88,1.0,GBP,16126.88,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6650,2026-09-24
TXN-0000087,DOC-20250103-007,2025-01-03,4300,CC420,P004,ENT02,REG02,EUR,15983.17,0.8389,GBP,13408.28,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4300,2026-09-24
TXN-0000088,DOC-20250103-008,2025-01-03,6610,CC120,P000,ENT01,REG01,GBP,14414.24,1.0,GBP,14414.24,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6610,2026-09-24
TXN-0000089,DOC-20250103-009,2025-01-03,6310,CC310,P000,ENT01,REG01,GBP,2360.57,1.0,GBP,2360.57,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6310,2026-09-24
TXN-0000090,DOC-20250103-010,2025-01-03,6210,CC230,P002,ENT04,REG02,EUR,16016.03,0.8389,GBP,13435.85,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6210,2026-09-24
TXN-0000091,DOC-20250103-011,2025-01-03,6650,CC140,P000,ENT01,REG03,GBP,13111.7,1.0,GBP,13111.7,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6650,2026-09-24
TXN-0000092,DOC-20250103-012,2025-01-03,4300,CC420,P004,ENT04,REG03,EUR,17554.75,0.8389,GBP,14726.68,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4300,2026-09-24
TXN-0000093,DOC-20250103-013,2025-01-03,4400,CC430,P004,ENT01,REG01,GBP,8432.69,1.0,GBP,8432.69,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4400,2026-09-24
TXN-0000094,DOC-20250103-014,2025-01-03,6610,CC120,P000,ENT02,REG02,EUR,1271.3,0.8389,GBP,1066.49,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6610,2026-09-24
TXN-0000095,DOC-20250103-015,2025-01-03,6310,CC310,P001,ENT01,REG01,GBP,9918.84,1.0,GBP,9918.84,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6310,2026-09-24
TXN-0000096,DOC-20250103-016,2025-01-03,4120,CC220,P003,ENT02,REG03,EUR,5719.78,0.8389,GBP,4798.32,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4120,2026-09-24
TXN-0000097,DOC-20250103-017,2025-01-03,6600,CC120,P000,ENT04,REG04,EUR,9530.18,0.8389,GBP,7994.87,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6600,2026-09-24
TXN-0000098,DOC-20250103-018,2025-01-03,5100,CC330,P003,ENT02,REG01,EUR,18797.43,0.8389,GBP,15769.16,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5100,2026-09-24
TXN-0000099,DOC-20250103-019,2025-01-03,4400,CC430,P004,ENT03,REG02,EUR,52669.21,0.8389,GBP,44184.2,ERP,AR Invoice,Synthetic AR Invoice - GL Account 4400,2026-09-24
TXN-0000100,DOC-20250103-020,2025-01-03,6600,CC120,P000,ENT04,REG04,EUR,4090.49,0.8389,GBP,3431.51,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6600,2026-09-24
TXN-0000101,DOC-20250103-021,2025-01-03,5200,CC410,P003,ENT02,REG02,EUR,18165.07,0.8389,GBP,15238.68,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5200,2026-09-24
TXN-0000102,DOC-20250103-022,2025-01-03,6730,CC130,P000,ENT01,REG01,GBP,1130.94,1.0,GBP,1130.94,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6730,2026-09-24
TXN-0000103,DOC-20250103-023,2025-01-03,6620,CC140,P000,ENT01,REG01,GBP,10997.23,1.0,GBP,10997.23,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6620,2026-09-24
TXN-0000104,DOC-20250103-024,2025-01-03,6610,CC120,P000,ENT01,REG01,GBP,7571.33,1.0,GBP,7571.33,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6610,2026-09-24
TXN-0000105,DOC-20250103-025,2025-01-03,4400,CC430,P004,ENT01,REG01,GBP,6920.72,1.0,GBP,6920.72,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4400,2026-09-24
TXN-0000106,DOC-20250103-026,2025-01-03,5110,CC420,P001,ENT03,REG03,EUR,10257.74,0.8389,GBP,8605.22,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5110,2026-09-24
TXN-0000107,DOC-20250103-027,2025-01-03,6620,CC140,P000,ENT01,REG01,GBP,4892.24,1.0,GBP,4892.24,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6620,2026-09-24
TXN-0000108,DOC-20250103-028,2025-01-03,5400,CC430,P004,ENT01,REG02,GBP,15344.05,1.0,GBP,15344.05,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5400,2026-09-24
TXN-0000109,DOC-20250103-029,2025-01-03,4100,CC210,P001,ENT01,REG01,GBP,32577.51,1.0,GBP,32577.51,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4100,2026-09-24
TXN-0000110,DOC-20250103-030,2025-01-03,5400,CC420,P004,ENT04,REG03,EUR,10135.96,0.8389,GBP,8503.06,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5400,2026-09-24
TXN-0000111,DOC-20250103-031,2025-01-03,5300,CC410,P003,ENT01,REG01,GBP,6207.0,1.0,GBP,6207.0,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5300,2026-09-24
TXN-0000112,DOC-20250103-032,2025-01-03,6210,CC230,P001,ENT03,REG03,EUR,18926.76,0.8389,GBP,15877.66,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6210,2026-09-24
TXN-0000113,DOC-20250103-033,2025-01-03,5400,CC430,P004,ENT03,REG04,EUR,1356.43,0.8389,GBP,1137.91,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5400,2026-09-24
TXN-0000114,DOC-20250103-034,2025-01-03,4900,CC110,P000,ENT03,REG03,EUR,19233.14,0.8389,GBP,16134.68,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4900,2026-09-24
TXN-0000115,DOC-20250103-035,2025-01-03,6410,CC330,P000,ENT02,REG02,EUR,12524.59,0.8389,GBP,10506.88,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6410,2026-09-24
TXN-0000116,DOC-20250103-036,2025-01-03,6320,CC310,P003,ENT03,REG03,EUR,14796.77,0.8389,GBP,12413.01,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6320,2026-09-24
TXN-0000117,DOC-20250103-037,2025-01-03,4110,CC220,P002,ENT03,REG03,EUR,47805.72,0.8389,GBP,40104.22,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4110,2026-09-24
TXN-0000118,DOC-20250103-038,2025-01-03,5110,CC310,P002,ENT01,REG01,GBP,9772.26,1.0,GBP,9772.26,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5110,2026-09-24
TXN-0000119,DOC-20250103-039,2025-01-03,5110,CC310,P002,ENT01,REG01,GBP,16160.96,1.0,GBP,16160.96,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5110,2026-09-24
TXN-0000120,DOC-20250103-040,2025-01-03,4100,CC210,P001,ENT01,REG01,GBP,40010.24,1.0,GBP,40010.24,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4100,2026-09-24
TXN-0000121,DOC-20250106-001,2025-01-06,6660,CC120,P000,ENT01,REG01,GBP,11516.04,1.0,GBP,11516.04,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6660,2026-09-24
TXN-0000122,DOC-20250106-002,2025-01-06,5110,CC420,P003,ENT01,REG04,GBP,10454.49,1.0,GBP,10454.49,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5110,2026-09-24
TXN-0000123,DOC-20250106-003,2025-01-06,6310,CC310,P000,ENT03,REG03,EUR,11371.74,0.8389,GBP,9539.75,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6310,2026-09-24
TXN-0000124,DOC-20250106-004,2025-01-06,6300,CC310,P001,ENT02,REG02,EUR,15841.6,0.8389,GBP,13289.52,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6300,2026-09-24
TXN-0000125,DOC-20250106-005,2025-01-06,6700,CC130,P000,ENT01,REG01,GBP,13867.93,1.0,GBP,13867.93,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6700,2026-09-24
TXN-0000126,DOC-20250106-006,2025-01-06,6720,CC130,P000,ENT03,REG02,EUR,2360.22,0.8389,GBP,1979.99,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6720,2026-09-24
TXN-0000127,DOC-20250106-007,2025-01-06,4300,CC420,P004,ENT01,REG03,GBP,24294.42,1.0,GBP,24294.42,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4300,2026-09-24
TXN-0000128,DOC-20250106-008,2025-01-06,5200,CC410,P004,ENT01,REG04,GBP,14343.14,1.0,GBP,14343.14,ERP,Accrual Journal,Synthetic Accrual Journal - GL Account 5200,2026-09-24
TXN-0000129,DOC-20250106-009,2025-01-06,6720,CC130,P000,ENT03,REG01,EUR,19213.08,0.8389,GBP,16117.85,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6720,2026-09-24
TXN-0000130,DOC-20250106-010,2025-01-06,6600,CC120,P000,ENT03,REG04,EUR,13396.4,0.8389,GBP,11238.24,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6600,2026-09-24
TXN-0000131,DOC-20250106-011,2025-01-06,4110,CC210,P002,ENT02,REG02,EUR,3373.45,0.8389,GBP,2829.99,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4110,2026-09-24
